Location,date,total_cases,total_deaths,death_percentage
United States,1/22/2020,1,NULL,NULL
United States,1/23/2020,1,NULL,NULL
United States,1/24/2020,2,NULL,NULL
United States,1/25/2020,2,NULL,NULL
United States,1/26/2020,5,NULL,NULL
United States,1/27/2020,5,NULL,NULL
United States,1/28/2020,5,NULL,NULL
United States,1/29/2020,6,NULL,NULL
United States,1/30/2020,6,NULL,NULL
United States,1/31/2020,8,NULL,NULL
United States,2/1/2020,8,NULL,NULL
United States,2/2/2020,8,NULL,NULL
United States,2/3/2020,11,NULL,NULL
United States,2/4/2020,11,NULL,NULL
United States,2/5/2020,11,NULL,NULL
United States,2/6/2020,12,NULL,NULL
United States,2/7/2020,12,NULL,NULL
United States,2/8/2020,12,NULL,NULL
United States,2/9/2020,12,NULL,NULL
United States,2/10/2020,12,NULL,NULL
United States,2/11/2020,13,NULL,NULL
United States,2/12/2020,13,NULL,NULL
United States,2/13/2020,14,NULL,NULL
United States,2/14/2020,14,NULL,NULL
United States,2/15/2020,14,NULL,NULL
United States,2/16/2020,14,NULL,NULL
United States,2/17/2020,14,NULL,NULL
United States,2/18/2020,14,NULL,NULL
United States,2/19/2020,14,NULL,NULL
United States,2/20/2020,14,NULL,NULL
United States,2/21/2020,16,NULL,NULL
United States,2/22/2020,16,NULL,NULL
United States,2/23/2020,16,NULL,NULL
United States,2/24/2020,16,NULL,NULL
United States,2/25/2020,16,NULL,NULL
United States,2/26/2020,16,NULL,NULL
United States,2/27/2020,17,NULL,NULL
United States,2/28/2020,17,NULL,NULL
United States,2/29/2020,25,1,4
United States,3/1/2020,32,1,3.125
United States,3/2/2020,55,6,10.90909091
United States,3/3/2020,74,7,9.459459459
United States,3/4/2020,107,11,10.28037383
United States,3/5/2020,184,12,6.52173913
United States,3/6/2020,237,14,5.907172996
United States,3/7/2020,403,17,4.218362283
United States,3/8/2020,519,21,4.046242775
United States,3/9/2020,594,22,3.703703704
United States,3/10/2020,782,28,3.58056266
United States,3/11/2020,1147,33,2.877070619
United States,3/12/2020,1586,43,2.711223203
United States,3/13/2020,2219,51,2.298332582
United States,3/14/2020,2978,58,1.94761585
United States,3/15/2020,3212,70,2.179327522
United States,3/16/2020,4679,97,2.073092541
United States,3/17/2020,6512,134,2.057739558
United States,3/18/2020,9169,194,2.115825063
United States,3/19/2020,13663,266,1.946863793
United States,3/20/2020,20030,372,1.857214179
United States,3/21/2020,26025,475,1.825168108
United States,3/22/2020,34944,603,1.725618132
United States,3/23/2020,46096,790,1.713814648
United States,3/24/2020,56714,1033,1.821419755
United States,3/25/2020,68841,1366,1.984282622
United States,3/26/2020,86662,1783,2.057418476
United States,3/27/2020,105253,2305,2.189961331
United States,3/28/2020,127417,3018,2.368600736
United States,3/29/2020,143544,3573,2.489132252
United States,3/30/2020,165698,4280,2.583012468
United States,3/31/2020,192079,5359,2.789997865
United States,4/1/2020,224281,6635,2.958342436
United States,4/2/2020,256626,8146,3.17426917
United States,4/3/2020,288993,9566,3.310114778
United States,4/4/2020,321379,11172,3.476269451
United States,4/5/2020,350713,12790,3.646856547
United States,4/6/2020,382646,14523,3.795414038
United States,4/7/2020,413222,17099,4.137969421
United States,4/8/2020,444341,19250,4.332258333
United States,4/9/2020,480413,21463,4.467614324
United States,4/10/2020,514690,23649,4.59480464
United States,4/11/2020,543878,25790,4.741872258
United States,4/12/2020,570812,27679,4.849057133
United States,4/13/2020,597803,29657,4.960998857
United States,4/14/2020,626217,32132,5.131128666
United States,4/15/2020,652179,34719,5.323538476
United States,4/16/2020,682442,36908,5.408225168
United States,4/17/2020,715446,39007,5.45212357
United States,4/18/2020,743379,40951,5.508764708
United States,4/19/2020,769251,42934,5.581273213
United States,4/20/2020,799039,45179,5.654167068
United States,4/21/2020,825257,47662,5.775412993
United States,4/22/2020,854328,50119,5.866482194
United States,4/23/2020,887581,52543,5.919797742
United States,4/24/2020,919920,54712,5.947473693
