Location,date,total_cases,population,percent_diagnosed
United States,1/22/2020,1,332915074,3.00E-07
United States,1/23/2020,1,332915074,3.00E-07
United States,1/24/2020,2,332915074,6.01E-07
United States,1/25/2020,2,332915074,6.01E-07
United States,1/26/2020,5,332915074,1.50E-06
United States,1/27/2020,5,332915074,1.50E-06
United States,1/28/2020,5,332915074,1.50E-06
United States,1/29/2020,6,332915074,1.80E-06
United States,1/30/2020,6,332915074,1.80E-06
United States,1/31/2020,8,332915074,2.40E-06
United States,2/1/2020,8,332915074,2.40E-06
United States,2/2/2020,8,332915074,2.40E-06
United States,2/3/2020,11,332915074,3.30E-06
United States,2/4/2020,11,332915074,3.30E-06
United States,2/5/2020,11,332915074,3.30E-06
United States,2/6/2020,12,332915074,3.60E-06
United States,2/7/2020,12,332915074,3.60E-06
United States,2/8/2020,12,332915074,3.60E-06
United States,2/9/2020,12,332915074,3.60E-06
United States,2/10/2020,12,332915074,3.60E-06
United States,2/11/2020,13,332915074,3.90E-06
United States,2/12/2020,13,332915074,3.90E-06
United States,2/13/2020,14,332915074,4.21E-06
United States,2/14/2020,14,332915074,4.21E-06
United States,2/15/2020,14,332915074,4.21E-06
United States,2/16/2020,14,332915074,4.21E-06
United States,2/17/2020,14,332915074,4.21E-06
United States,2/18/2020,14,332915074,4.21E-06
United States,2/19/2020,14,332915074,4.21E-06
United States,2/20/2020,14,332915074,4.21E-06
United States,2/21/2020,16,332915074,4.81E-06
United States,2/22/2020,16,332915074,4.81E-06
United States,2/23/2020,16,332915074,4.81E-06
United States,2/24/2020,16,332915074,4.81E-06
United States,2/25/2020,16,332915074,4.81E-06
United States,2/26/2020,16,332915074,4.81E-06
United States,2/27/2020,17,332915074,5.11E-06
United States,2/28/2020,17,332915074,5.11E-06
United States,2/29/2020,25,332915074,7.51E-06
United States,3/1/2020,32,332915074,9.61E-06
United States,3/2/2020,55,332915074,1.65E-05
United States,3/3/2020,74,332915074,2.22E-05
United States,3/4/2020,107,332915074,3.21E-05
United States,3/5/2020,184,332915074,5.53E-05
United States,3/6/2020,237,332915074,7.12E-05
United States,3/7/2020,403,332915074,0.000121052
United States,3/8/2020,519,332915074,0.000155896
United States,3/9/2020,594,332915074,0.000178424
United States,3/10/2020,782,332915074,0.000234895
United States,3/11/2020,1147,332915074,0.000344532
United States,3/12/2020,1586,332915074,0.000476398
United States,3/13/2020,2219,332915074,0.000666536
United States,3/14/2020,2978,332915074,0.000894522
United States,3/15/2020,3212,332915074,0.000964811
United States,3/16/2020,4679,332915074,0.001405464
United States,3/17/2020,6512,332915074,0.001956054
United States,3/18/2020,9169,332915074,0.002754156
United States,3/19/2020,13663,332915074,0.00410405
United States,3/20/2020,20030,332915074,0.006016549
United States,3/21/2020,26025,332915074,0.007817309
United States,3/22/2020,34944,332915074,0.010496371
United States,3/23/2020,46096,332915074,0.013846174
United States,3/24/2020,56714,332915074,0.017035576
United States,3/25/2020,68841,332915074,0.020678247
United States,3/26/2020,86662,332915074,0.026031263
United States,3/27/2020,105253,332915074,0.031615571
United States,3/28/2020,127417,332915074,0.038273124
United States,3/29/2020,143544,332915074,0.043117303
United States,3/30/2020,165698,332915074,0.049771853
United States,3/31/2020,192079,332915074,0.057696096
United States,4/1/2020,224281,332915074,0.067368833
United States,4/2/2020,256626,332915074,0.077084524
United States,4/3/2020,288993,332915074,0.086806823
United States,4/4/2020,321379,332915074,0.09653483
United States,4/5/2020,350713,332915074,0.105346086
United States,4/6/2020,382646,332915074,0.114938022
United States,4/7/2020,413222,332915074,0.124122346
United States,4/8/2020,444341,332915074,0.133469775
United States,4/9/2020,480413,332915074,0.144304971
United States,4/10/2020,514690,332915074,0.15460099
United States,4/11/2020,543878,332915074,0.163368391
United States,4/12/2020,570812,332915074,0.171458743
United States,4/13/2020,597803,332915074,0.179566216
United States,4/14/2020,626217,332915074,0.188101125
United States,4/15/2020,652179,332915074,0.19589951
United States,4/16/2020,682442,332915074,0.204989817
United States,4/17/2020,715446,332915074,0.214903456
United States,4/18/2020,743379,332915074,0.223293884
United States,4/19/2020,769251,332915074,0.231065236
United States,4/20/2020,799039,332915074,0.240012863
United States,4/21/2020,825257,332915074,0.247888145
United States,4/22/2020,854328,332915074,0.256620402
United States,4/23/2020,887581,332915074,0.266608835
United States,4/24/2020,919920,332915074,0.276322724
