Location,peak_infection_count,population,Infection_rate,
Montenegro,141292,628051,22.49689914,
Seychelles,22135,98910,22.37893034,
Andorra,15425,77354,19.94079168,
Georgia,694182,3979773,17.44275364,
San Marino,5509,34010,16.19817701,
Czechia,1731287,10724553,16.14320895,
Maldives,87071,543620,16.0168868,
Serbia,1104117,6908224,15.98264619,
Bahrain,276608,1748295,15.82158617,
Slovenia,320620,2078723,15.42389246,
Israel,1324040,8789776,15.06341003,
Lithuania,390031,2689862,14.50003755,
Estonia,183320,1325188,13.83350891,
Cyprus,123357,896005,13.76744549,
United States,45547158,332915074,13.68131441,
United Kingdom,8851104,68207114,12.97680474,
Luxembourg,80603,634814,12.69710498,
Netherlands,2127556,17173094,12.3888916,
Argentina,5281585,45605823,11.58094439,
Sweden,1165996,10160159,11.47615899,
Belgium,1328202,11632334,11.41819002,
Uruguay,392319,3485152,11.25686914,
Croatia,446005,4081657,10.92705732,
Latvia,203460,1866934,10.8980821,
Costa Rica,557165,5139053,10.8417835,
Panama,471669,4381583,10.76480806,
Spain,5002217,46745211,10.70102561,
France,7228331,67564251,10.69845502,
Portugal,1085451,10167923,10.67524803,
Mongolia,351835,3329282,10.56789422,
Brazil,21735560,213993441,10.15711505,
Armenia,296552,2968128,9.991213317,
Switzerland,865708,8715494,9.932976834,
Colombia,5003839,51265841,9.760571371,
North Macedonia,199901,2082661,9.598345578,
Kuwait,412557,4328553,9.53106038,
Liechtenstein,3629,38254,9.486589638,
Lebanon,638054,6769151,9.425908803,
Turkey,7879438,85042736,9.2652687,
Kosovo,160638,1775378,9.048101306,
Austria,801456,9043072,8.862651984,
Hungary,850513,9634162,8.828095272,
Chile,1683451,19212362,8.762332294,
Ireland,431722,4982904,8.664064168,
Palestine,451459,5222756,8.64407604,
Monaco,3394,39520,8.58805668,
Slovakia,457431,5460726,8.376743312,
Cuba,946960,11317498,8.367220387,
Bulgaria,575306,6896655,8.341812081,
Jordan,853012,10269022,8.306652766,
Romania,1571115,19127772,8.213789876,
Moldova,329294,4024025,8.183199657,
Suriname,48334,591798,8.167313847,
Qatar,238640,2930524,8.143253561,
Poland,2975880,37797000,7.87332328,
Italy,4743720,60367471,7.8580731,
