Location,peak_death_count,population,Death_rate,
Peru,200083,33359415,0.599779702,
Bosnia and Herzegovina,11397,3263459,0.349230678,
North Macedonia,7062,2082661,0.33908543,
Bulgaria,23316,6896655,0.338076937,
Montenegro,2071,628051,0.329750291,
Hungary,30567,9634162,0.317277206,
Czechia,30625,10724553,0.285559687,
Brazil,605804,213993441,0.283094658,
San Marino,92,34010,0.270508674,
Argentina,115851,45605823,0.254026772,
Colombia,127099,51265841,0.247921418,
Georgia,9788,3979773,0.245943676,
Slovakia,12917,5460726,0.236543639,
Romania,44980,19127772,0.235155459,
Slovenia,4693,2078723,0.225763606,
Paraguay,16232,7219641,0.224831124,
Belgium,25889,11632334,0.222560666,
Croatia,9060,4081657,0.221968676,
United States,737342,332915074,0.221480509,
Mexico,286496,130262220,0.219937907,
Italy,131856,60367471,0.218422269,
Tunisia,25155,11935764,0.210753162,
Lithuania,5661,2689862,0.210456893,
United Kingdom,139990,68207114,0.205242521,
Armenia,6055,2968128,0.204000636,
Poland,76447,37797000,0.202256793,
Chile,37755,19212362,0.196514099,
Moldova,7535,4024025,0.187250328,
Spain,87186,46745211,0.186513224,
Ecuador,32953,17888474,0.184213589,
Suriname,1064,591798,0.179791077,
Portugal,18138,10167923,0.178384514,
France,118452,67564251,0.175317565,
Uruguay,6073,3485152,0.174253519,
Grenada,196,113015,0.173428306,
Andorra,130,77354,0.168058536,
Kosovo,2975,1775378,0.167569948,
Panama,7310,4381583,0.166834681,
Latvia,3049,1866934,0.163315897,
Bahamas,642,396914,0.161747885,
Bolivia,18901,11832936,0.159732124,
Ukraine,68365,43466822,0.15728088,
Liechtenstein,60,38254,0.156846343,
Russia,227506,145912022,0.155919983,
Greece,15682,10370747,0.151213794,
South Africa,88934,60041996,0.148119659,
Sweden,14993,10160159,0.147566588,
Iran,125363,85028760,0.147435997,
Serbia,9571,6908224,0.138545015,
Namibia,3550,2587344,0.13720634,
Costa Rica,6983,5139053,0.135881066,
Saint Lucia,250,184401,0.135574102,
Luxembourg,842,634814,0.132637276,
Switzerland,11193,8715494,0.128426455,
Lebanon,8459,6769151,0.124963973,
Austria,11261,9043072,0.124526267,
Seychelles,119,98910,0.120311394,
Trinidad and Tobago,1650,1403374,0.11757379,
Belize,476,404915,0.117555536,
Guyana,897,790329,0.113497037,
Germany,95148,83900471,0.1134058,
Estonia,1469,1325188,0.110852196,
Netherlands,18758,17173094,0.109229007,
Ireland,5369,4982904,0.107748413,
Jordan,10965,10269022,0.106777452,
Eswatini,1242,1172369,0.105939342,
Honduras,10191,10062994,0.101272047,
