location,people_fully_vaccinated,population,percent_fully_vaccinated,
Gibraltar,39803,33691,118.1413434,
Pitcairn,47,47,100,
Portugal,8827654,10167923,86.8186551,
United Arab Emirates,8604768,9991083,86.1244772,
Cayman Islands,56106,66498,84.37246233,
Malta,426469,514564,82.87968066,
Iceland,278276,343360,81.04496738,
Spain,37234272,46745211,79.65366121,
Singapore,4695624,5896684,79.63160312,
Seychelles,76188,98910,77.02760085,
Cambodia,13009481,16946446,76.76819671,
Faeroe Islands,37402,49053,76.24813977,
Chile,14627647,19212362,76.13664057,
Denmark,4405323,5813302,75.78004721,
Qatar,2218292,2930524,75.69608712,
Isle of Man,64336,85410,75.32607423,
Ireland,3741731,4982904,75.09137242,
Uruguay,2615742,3485152,75.05388574,
Canada,28063268,38067913,73.71895591,
Jersey,74457,101073,73.66655783,
Belgium,8533325,11632334,73.3586656,
Malaysia,23906468,32776195,72.93850918,
China,1047872000,1444216102,72.55645457,
Aruba,76504,107195,71.36900042,
Niue,1150,1614,71.25154895,
South Korea,36424121,51305184,70.99501095,
Italy,42807146,60367471,70.91094805,
Tokelau,968,1368,70.76023392,
Japan,88797909,126050796,70.4461311,
Bermuda,43738,62092,70.44063647,
Finland,3801150,5548361,68.50942107,
Netherlands,11731427,17173094,68.31283285,
Norway,3723946,5465629,68.13389639,
France,45606061,67564251,67.50028354,
Sweden,6845102,10160159,67.37199684,
United Kingdom,45561445,68207114,66.79867,
Nauru,7251,10873,66.68812655,
Turks and Caicos Islands,26112,39226,66.56809259,
Bhutan,517513,779900,66.35632773,
Germany,55112701,83900471,65.68819024,
Mauritius,834104,1273428,65.50068005,
San Marino,22218,34010,65.32784475,
Maldives,354759,543620,65.25863655,
Bahrain,1138329,1748295,65.11080796,
Israel,5718253,8789776,65.05573066,
Greenland,36953,56868,64.98030527,
Mongolia,2137780,3329282,64.21144259,
Cook Islands,11192,17572,63.69223765,
Bonaire Sint Eustatius and Saba,16736,26445,63.28606542,
Cyprus,566820,896005,63.2608077,
Liechtenstein,24152,38254,63.13588122,
Luxembourg,399522,634814,62.93528498,
Switzerland,5450816,8715494,62.54167578,
Cuba,7013247,11317498,61.9681753,
Austria,5586892,9043072,61.78090808,
Andorra,47720,77354,61.69041032,
New Zealand,2987389,4860642,61.46079057,
Sri Lanka,13156574,21497306,61.20103607,
Greece,6346512,10370747,61.19628605,
Lithuania,1643889,2689862,61.11425047,
Australia,15733744,25788217,61.0113681,
Anguilla,9157,15125,60.54214876,
Saudi Arabia,21244469,35340680,60.11335662,
Fiji,541638,902899,59.98876951,
Hungary,5721531,9634162,59.38794677,
Monaco,23308,39520,58.97773279,
Hong Kong,4395742,7552800,58.20016418,
Saint Helena,3531,6095,57.93273175,
Morocco,21449332,37344787,57.43594682,
El Salvador,3738899,6518500,57.35827261,
United States,190699790,332915074,57.28181296,
Estonia,752387,1325188,56.77586878,
Turkey,48218503,85042736,56.69914359,
Czechia,6059460,10724553,56.5008164,
Ecuador,10090387,17888474,56.40719829,
Curacao,91894,164796,55.76227578,
Sint Maarten (Dutch part),24190,43421,55.71037056,
Argentina,25336749,45605823,55.5559517,
Brunei,243831,441532,55.22385693,
Brazil,115489354,213993441,53.96864196,
Panama,2358576,4381583,53.82931237,
Slovenia,1113046,2078723,53.54470028,
Poland,19833946,37797000,52.47492129,
Turkmenistan,3206282,6117933,52.40792928,
Latvia,977902,1866934,52.38010556,
New Caledonia,150374,288217,52.17388287,
Macao,343230,658391,52.13163606,
French Polynesia,147185,282534,52.09461516,
British Virgin Islands,15762,30423,51.80948624,
Falkland Islands,1775,3528,50.31179138,
Oman,2614847,5223376,50.06047813,
Antigua and Barbuda,48797,98728,49.42569484,
Wallis and Futuna,5464,11094,49.25184785,
Costa Rica,2527143,5139053,49.17526634,
Dominican Republic,5253400,10953714,47.95998873,
Saint Kitts and Nevis,24054,53546,44.92212303,
Peru,14823045,33359415,44.43436733,
Croatia,1774513,4081657,43.47530917,
Serbia,2983451,6908224,43.18694646,
Barbados,121827,287708,42.34397375,
Azerbaijan,4323260,10223344,42.28812021,
Slovakia,2294490,5460726,42.01803936,
Trinidad and Tobago,585737,1403374,41.73776912,
Mexico,53487503,130262220,41.06140906,
Colombia,20498474,51265841,39.98466347,
Kosovo,697728,1775378,39.30025043,
Samoa,78596,200144,39.2697258,
Tuvalu,4652,11925,39.01048218,
Kazakhstan,7329137,18994958,38.58464441,
